Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
264,community side trails,18.0349904000,-66.0303526000,183.3120000000,6.8062291487
265,community side trails,18.0350076000,-66.0302984000,182.6120000000,6.1214958840
266,community side trails,18.0350254000,-66.0302476000,181.9320000000,4.7793718068
267,community side trails,18.0350438000,-66.0301992000,181.2920000000,6.2432795181
268,community side trails,18.0350650000,-66.0301550000,180.6120000000,5.5864528042
269,community side trails,18.0350872000,-66.0301138000,180.0120000000,4.4148293100
270,community side trails,18.0351074000,-66.0300754000,179.4920000000,4.8381245611
271,community side trails,18.0351126000,-66.0300276000,178.8920000000,5.1469921105
272,community side trails,18.0350988000,-66.0299854000,178.1720000000,4.6476388546
273,community side trails,18.0350660000,-66.0299436000,177.3020000000,5.7049233777
274,community side trails,18.0350182000,-66.0299154000,176.4320000000,6.1127051633
275,community side trails,18.0349664000,-66.0298910000,175.6420000000,6.6040420194
276,community side trails,18.0349128000,-66.0298656000,175.2420000000,6.4629557742
277,community side trails,18.0348602000,-66.0298412000,174.7220000000,6.7641933508
278,community side trails,18.0348108000,-66.0298252000,174.3020000000,5.7080001350
279,community side trails,18.0347626000,-66.0298288000,174.0720000000,5.3701293254
280,community side trails,18.0347168000,-66.0298528000,173.8120000000,5.7255918421
281,community side trails,18.0346722000,-66.0298894000,173.9720000000,6.2725466628
282,community side trails,18.0346268000,-66.0299286000,173.7620000000,6.7156650315
283,community side trails,18.0345756000,-66.0299574000,173.4720000000,6.2247334490
284,community side trails,18.0345294000,-66.0299714000,173.0220000000,5.3840402090
285,community side trails,18.0344850000,-66.0299714000,172.7020000000,4.9469960585
286,community side trails,18.0344436000,-66.0299512000,173.0320000000,4.7916906240
287,community side trails,18.0344022000,-66.0299198000,173.4420000000,5.4109006352
288,community side trails,18.0343574000,-66.0298792000,174.0320000000,7.2238558112
289,community side trails,18.0343150000,-66.0298368000,174.0320000000,6.2881112243
290,community side trails,18.0342750000,-66.0297980000,174.2020000000,5.8165645377
291,community side trails,18.0342314000,-66.0297686000,174.3120000000,5.9650753316
292,community side trails,18.0341852000,-66.0297514000,174.7120000000,5.3410848416
293,community side trails,18.0341386000,-66.0297454000,175.0020000000,5.3730338597
294,community side trails,18.0340906000,-66.0297472000,175.3520000000,5.3278852342
295,community side trails,18.0340422000,-66.0297544000,175.8320000000,5.3866309376
296,community side trails,18.0339860000,-66.0297602000,176.3220000000,6.3262153987
297,community side trails,18.0339222000,-66.0297628000,176.7820000000,7.0402559854
298,community side trails,18.0338650000,-66.0297600000,176.9920000000,6.4590149976
299,community side trails,18.0338078000,-66.0297530000,177.1020000000,6.3081694072
300,community side trails,18.0337610000,-66.0297480000,177.0420000000,5.3655375181
301,community side trails,18.0337106000,-66.0297438000,176.8520000000,5.5095244015
302,community side trails,18.0336584000,-66.0297396000,176.5920000000,5.7475987534
303,community side trails,18.0336054000,-66.0297384000,176.2620000000,6.0848141661
304,community side trails,18.0335506000,-66.0297404000,175.8920000000,6.0871145411
305,community side trails,18.0334956000,-66.0297468000,175.5320000000,6.1292089287
306,community side trails,18.0334396000,-66.0297568000,175.1820000000,6.3169139040
307,community side trails,18.0333830000,-66.0297672000,174.8820000000,6.4370415878
308,community side trails,18.0333268000,-66.0297788000,174.5920000000,6.3138737135
309,community side trails,18.0332718000,-66.0297892000,174.3120000000,6.4566462996
310,community side trails,18.0332184000,-66.0298000000,174.0520000000,5.9358231326
311,community side trails,18.0331648000,-66.0298084000,173.7520000000,6.1259776437
312,community side trails,18.0331138000,-66.0298172000,173.5420000000,5.7455544196
313,community side trails,18.0330610000,-66.0298226000,173.2520000000,5.9372128361
314,community side trails,18.0330104000,-66.0298260000,173.0920000000,5.5085714238
315,community side trails,18.0329588000,-66.0298264000,172.8920000000,5.6996279598
316,community side trails,18.0329080000,-66.0298218000,172.6620000000,5.8904804825
317,community side trails,18.0328560000,-66.0298132000,172.1620000000,5.7634447676
318,community side trails,18.0328050000,-66.0298004000,171.7420000000,5.8913758264
319,community side trails,18.0327530000,-66.0297842000,171.1020000000,5.9111346952
320,community side trails,18.0327030000,-66.0297648000,170.6820000000,6.2321567415
321,community side trails,18.0326542000,-66.0297430000,170.0320000000,5.9527399147
322,community side trails,18.0326084000,-66.0297160000,169.4020000000,5.9179891477
323,community side trails,18.0325674000,-66.0296860000,168.7320000000,5.2786769912
324,community side trails,18.0325320000,-66.0296522000,167.9320000000,5.1413273729
325,community side trails,18.0325032000,-66.0296136000,167.1420000000,5.3505662849
326,community side trails,18.0324780000,-66.0295722000,166.2920000000,5.8642487376
327,community side trails,18.0324556000,-66.0295292000,165.4620000000,5.0553880682
328,community side trails,18.0324322000,-66.0294864000,164.7420000000,5.1341820069
