name,lat,long,time,dist,elev
more accurate points of interest,18.059238800000006,-66.0316502,2019-08-05 17:25:59+00:00,0.00020532845759661344,209.186
more accurate points of interest,18.059247,-66.03164699999999,2019-08-05 17:26:24+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0592478,-66.03164500000001,2019-08-05 17:28:10+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0592412,-66.031648,2019-08-05 17:29:39+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0592284,-66.03165380000002,2019-08-05 17:30:51+00:00,0.00020532845759661344,211.62600000000003
more accurate points of interest,18.0592224,-66.0316564,2019-08-05 17:31:14+00:00,0.00020532845759661344,211.62600000000003
more accurate points of interest,18.059216,-66.0316588,2019-08-05 17:31:46+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.059215,-66.031658,2019-08-05 17:31:58+00:00,0.00020532845759661344,210.312
system to first house,18.058248000000003,-66.032083,2019-08-05 17:49:06+00:00,0.0001801849723465989,174.538
system to first house,18.0582378,-66.03208000000001,2019-08-05 17:49:12+00:00,0.0001801849723465989,173.65800000000002
system to first house,18.0582348,-66.03206879999999,2019-08-05 17:49:19+00:00,0.0001801849723465989,172.878
system to first house,18.058231399999997,-66.0320526,2019-08-05 17:49:23+00:00,0.0001801849723465989,172.118
system to first house,18.0582376,-66.0320276,2019-08-05 17:49:25+00:00,0.0001801849723465989,171.398
system to first house,18.058245,-66.032003,2019-08-05 17:49:27+00:00,0.0001801849723465989,170.82800000000003
system to first house,18.058256600000004,-66.0319798,2019-08-05 17:49:28+00:00,0.0001801849723465989,170.458
system to first house,18.0582726,-66.03195600000001,2019-08-05 17:49:29+00:00,0.0001801849723465989,170.27800000000002
system to first house,18.0582918,-66.0319284,2019-08-05 17:49:30+00:00,0.0001801849723465989,170.108
system to first house,18.058314199999998,-66.03189880000001,2019-08-05 17:49:31+00:00,0.0001801849723465989,169.848
system to first house,18.0583372,-66.03186720000001,2019-08-05 17:49:32+00:00,0.0001801849723465989,169.608
